state,date,confirmed_cases,confirmed_cases_norm,confirmed_deaths,confirmed_deaths_norm
AL,2020-04-18,1445.0,2862.0,68.0,85.0
AL,2020-04-19,1442.0,2992.0,61.0,87.0
AL,2020-04-20,1311.0,2624.0,64.0,104.0
AL,2020-04-21,1293.0,2689.0,64.0,96.0
AL,2020-04-22,1363.0,2773.0,69.0,93.0
AL,2020-04-23,1385.0,2700.0,78.0,116.0
AL,2020-04-24,1434.0,2756.0,69.0,122.0
AL,2020-04-25,1535.0,2978.0,61.0,127.0
AL,2020-04-26,1486.0,2684.0,56.0,113.0
AL,2020-04-27,1497.0,2714.0,62.0,123.0
AL,2020-04-28,1458.0,2600.0,65.0,131.0
AL,2020-04-29,1416.0,2610.0,59.0,123.0
AL,2020-04-30,1287.0,2464.0,60.0,103.0
AL,2020-05-01,1288.0,2658.0,70.0,110.0
AL,2020-05-02,1348.0,2815.0,80.0,124.0
AL,2020-05-03,1426.0,3202.0,79.0,124.0
AL,2020-05-04,1502.0,3424.0,71.0,95.0
AL,2020-05-05,1582.0,3609.0,70.0,101.0
AL,2020-05-06,1700.0,3760.0,73.0,130.0
AL,2020-05-07,1790.0,3851.0,87.0,183.0
AL,2020-05-08,1928.0,3995.0,97.0,207.0
AL,2020-05-09,1997.0,4136.0,94.0,206.0
AL,2020-05-10,2020.0,4140.0,102.0,223.0
AL,2020-05-11,2005.0,4109.0,103.0,228.0
AL,2020-05-12,2059.0,4349.0,105.0,236.0
AL,2020-05-13,2046.0,4477.0,120.0,269.0
AL,2020-05-14,2053.0,4450.0,107.0,257.0
AL,2020-05-15,2046.0,4315.0,104.0,268.0
AL,2020-05-16,2057.0,4375.0,100.0,259.0
AL,2020-05-17,2108.0,4418.0,95.0,240.0
AL,2020-05-18,2155.0,4540.0,95.0,238.0
AL,2020-05-19,2176.0,4648.0,86.0,221.0
AL,2020-05-20,2259.0,5061.0,69.0,166.0
AL,2020-05-21,2364.0,5429.0,72.0,150.0
AL,2020-05-22,2429.0,5689.0,56.0,106.0
AL,2020-05-23,2460.0,5794.0,58.0,118.0
AL,2020-05-24,2500.0,5982.0,64.0,132.0
AL,2020-05-25,2539.0,6017.0,63.0,137.0
AL,2020-05-26,2871.0,6759.0,77.0,174.0
AL,2020-05-27,3074.0,7024.0,76.0,184.0
AL,2020-05-28,3077.0,7126.0,61.0,163.0
AL,2020-05-29,3159.0,7199.0,62.0,168.0
AL,2020-05-30,3308.0,7459.0,69.0,199.0
AL,2020-05-31,3361.0,7473.0,69.0,212.0
AL,2020-06-01,3524.0,7758.0,79.0,242.0
AL,2020-06-02,3216.0,6783.0,78.0,238.0
AL,2020-06-03,2835.0,5821.0,71.0,211.0
AL,2020-06-04,2691.0,5378.0,68.0,197.0
AL,2020-06-05,2513.0,5055.0,60.0,178.0
AL,2020-06-06,2648.0,5171.0,62.0,191.0
AL,2020-06-07,2666.0,5090.0,67.0,188.0
AL,2020-06-08,2577.0,4887.0,58.0,154.0
AL,2020-06-09,2743.0,5190.0,70.0,178.0
AL,2020-06-10,3100.0,5881.0,74.0,171.0
AL,2020-06-11,3705.0,7120.0,88.0,209.0
AL,2020-06-12,4108.0,7832.0,99.0,226.0
AL,2020-06-13,4495.0,9010.0,92.0,192.0
AL,2020-06-14,5009.0,10294.0,83.0,186.0
AL,2020-06-15,5405.0,10971.0,80.0,185.0
AL,2020-06-16,5217.0,10593.0,55.0,132.0
AL,2020-06-17,5200.0,10390.0,54.0,132.0
AL,2020-06-18,5282.0,10533.0,45.0,96.0
AL,2020-06-19,5306.0,10453.0,51.0,115.0
AL,2020-06-20,4820.0,8907.0,48.0,109.0
AL,2020-06-21,4319.0,7417.0,60.0,128.0
AL,2020-06-22,3940.0,6507.0,61.0,131.0
AL,2020-06-23,4286.0,7012.0,62.0,131.0
AL,2020-06-24,4855.0,7709.0,75.0,172.0
AL,2020-06-25,4937.0,7545.0,95.0,251.0
