state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
NV,32,Nevada,3034392,2020-06-02 15:35:34.457534 UTC,2020-05-03,1,Post,B+,4.3,-0.56952710090630987,B,4,-0.74999635071378423,A,5,-0.93614793089885273,B,4
NV,32,Nevada,3034392,2020-06-02 15:35:34.457534 UTC,2020-03-23,2,Post,B-,3.7,-0.51053575216133662,C,3,-0.69678266844291614,B,4,-0.93600781267203481,B,4
NE,31,Nebraska,1929268,2020-06-02 15:35:34.457534 UTC,2020-05-15,6,Post,D-,1.7,-0.21719621206802864,F,1,-0.23036621796916545,F,1,-0.78826364137954608,C,3
NE,31,Nebraska,1929268,2020-06-02 15:35:34.457534 UTC,2020-05-09,7,Post,D,2,-0.30627186718595661,D,2,-0.26890200550060384,F,1,-0.75682915389355343,C,3
NE,31,Nebraska,1929268,2020-06-02 15:35:34.457534 UTC,2020-04-13,2,Post,C-,2.7,-0.35554594343619206,D,2,-0.50241077994349148,F,1,-0.95097769409314747,A,5
NE,31,Nebraska,1929268,2020-06-02 15:35:34.457534 UTC,2020-03-01,1,Pre,D-,1.7,0.026879844315410076,F,1,0.0087597807368226359,F,1,-0.767688444837319,C,3
CO,08,Colorado,5695564,2020-06-02 15:35:34.457534 UTC,2020-03-20,6,Post,C+,3.3,-0.39559414645766144,D,2,-0.68793979068742861,B,4,-0.90361252329550634,B,4
KS,20,Kansas,2911505,2020-06-02 15:35:34.457534 UTC,2020-05-05,3,Post,D-,1.7,-0.22143151461071719,F,1,-0.26156088026125435,F,1,-0.78325554126249175,C,3
KS,20,Kansas,2911505,2020-06-02 15:35:34.457534 UTC,2020-04-10,6,Post,C,3,-0.41145921497810872,C,3,-0.59169368509350928,D,2,-0.89519783492174121,B,4
KS,20,Kansas,2911505,2020-06-02 15:35:34.457534 UTC,2020-03-25,4,Post,D,2,-0.2466385074417235,F,1,-0.48614015833908847,F,1,-0.90047264708123376,B,4
KS,20,Kansas,2911505,2020-06-02 15:35:34.457534 UTC,2020-03-10,3,Post,F,1.3,0.015389134039339549,F,1,-0.035446024588296141,F,1,-0.69773355805829174,D,2
MN,27,Minnesota,5611179,2020-06-02 15:35:34.457534 UTC,2020-04-16,5,Post,C+,3.3,-0.40875596752126725,C,3,-0.6082984735076219,C,3,-0.91363322064608343,B,4
WA,53,Washington,7535591,2020-06-02 15:35:34.457534 UTC,2020-04-01,4,Post,C,3,-0.42535945967868566,C,3,-0.55901209961621934,D,2,-0.90791031303885306,B,4
WA,53,Washington,7535591,2020-06-02 15:35:34.457534 UTC,2020-03-25,4,Post,C-,2.7,-0.36753091115763425,D,2,-0.57824611563457817,D,2,-0.84236806525321273,B,4
AZ,04,Arizona,7171646,2020-06-02 15:35:34.457534 UTC,2020-05-25,2,Post,F,1.3,-0.13518372294778083,F,1,-0.23597813003550192,F,1,-0.73280127178926646,D,2
